intime_weight,intime_zona1,intime_zona2,intime_additional_weight,intime_additional_price,intime_additional_price_zona2,overseas_weight,overseas_price,overseas_additional_weight,overseas_additional_cost,gls_weight,gls_zona1,gls_zona2,hp_weight,hp_price
2,2.7474,3.567,500,73.3805,99.0638,2,2.9038,1,0.1247,2,3.26,13.96,1,2.1236
5,2.7474,3.7639,,,,5,3.6298,,,3,3.47,14.17,2,2.2563
10,3.0526,3.9623,,,,10,3.9525,,,5,3.68,14.38,5,2.4554
15,3.2053,4.3591,,,,15,4.2751,,,10,3.97,14.67,10,2.6545
20,3.5868,4.7545,,,,20,4.5171,,,15,4.25,,15,2.9199
25,4.0447,5.5481,,,,25,5.0011,,,20,4.46,,20,3.4508
30,4.6553,6.3403,,,,30,6.1303,,,25,4.75,,30,4.1144
35,5.2841,7.1325,,,,35,9.0342,,,30,5.03,,,
40,5.8702,7.9246,,,,40,10.3248,,,40,5.45,,,
45,14.6755,19.8131,,,,45,10.9701,,,,,,,
50,14.6755,19.8131,,,,50,12.906,,,,,,,
60,14.6755,19.8131,,,,80,15.8098,,,,,,,
70,14.6755,19.8131,,,,100,18.875,,,,,,,
80,22.014,29.7188,,,,150,22.4241,,,,,,,
90,22.014,29.7188,,,,200,34.6848,,,,,,,
100,22.014,29.7188,,,,250,40.0085,,,,,,,
150,29.3525,39.6261,,,,300,43.5576,,,,,,,
200,32.2876,43.5884,,,,350,45.9775,,,,,,,
250,36.6895,49.5319,,,,400,51.6239,,,,,,,
300,44.028,59.4377,,,,450,51.6239,,,,,,,
350,51.3665,69.3449,,,,500,60.4967,,,,,,,
400,58.705,79.2507,,,,,,,,,,,,
450,66.042,89.1565,,,,,,,,,,,,
500,73.3805,99.0638,,,,,,,,,,,,
600,88.056,118.8768,,,,,,,,,,,,
700,102.733,138.6884,,,,,,,,,,,,
800,117.4085,158.5014,,,,,,,,,,,,
900,132.084,178.3145,,,,,,,,,,,,
1000,146.761,198.1275,,,,,,,,,,,,
1500,220.1415,297.1913,,,,,,,,,,,,
2000,293.6396,396.2536,,,,,,,,,,,,
2500,366.9026,495.3173,,,,,,,,,,,,
3000,440.2831,594.3811,,,,,,,,,,,,
